source,time_period,geo_strat,geo_label,sex_strat,sex_label,age_strat,age_label,abm_strat,abm_label,ppop_strat,ppop_label,domain,measure_raw,measure_gfs,measure_unit,ind_strat,ind_label,est,error_type,error,lci,uci,releasability,prop
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,45-49,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",404,NA,NA,NA,NA,yes,-1.9
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,70-74,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",2167,NA,NA,NA,NA,yes,-10.4
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,65-69,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",1073,NA,NA,NA,NA,yes,5.9
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,40-44,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",301,NA,NA,NA,NA,yes,-1.4
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,25-29,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",694,NA,NA,NA,NA,yes,-0.7
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,100+,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",669,NA,NA,NA,NA,yes,-0.7
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,95-99,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",1724,NA,NA,NA,NA,yes,9.5
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,80-84,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",15410,NA,NA,NA,NA,yes,-15.7
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,5-9,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",16,NA,NA,NA,NA,yes,-0.1
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,0-4,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",486,NA,NA,NA,NA,yes,0.5
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,95-99,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",4623,NA,NA,NA,NA,yes,-4.7
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,15-19,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",73,NA,NA,NA,NA,yes,-0.4
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,55-59,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",3767,NA,NA,NA,NA,yes,-3.8
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,30-34,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",75,NA,NA,NA,NA,yes,0.4
